date,inflow
1984-06,5036.716403
1984-07,2495.389281
1984-08,1376.087806
1984-09,754.8407036
1984-10,989.422083
1984-11,874.7354803
1984-12,843.2150125
1985-01,911.6782124
1985-02,841.1329382
1985-03,1373.327168
1985-04,2649.977035
1985-05,4126.410641
1985-06,3315.369389
1985-07,1375.56354
1985-08,670.0290447
1985-09,656.533177
1985-10,893.1606662
1985-11,829.4455181
1985-12,862.4342827
1986-01,781.0891768
1986-02,877.9250342
1986-03,1131.987721
1986-04,2076.992085
1986-05,3419.000218
1986-06,3905.066192
1986-07,2274.332543
1986-08,820.2341299
1986-09,873.8919712
1986-10,1186.111066
1986-11,1154.928608
1986-12,1013.521207
1987-01,813.8416262
1987-02,957.5685243
1987-03,1171.121382
1987-04,1728.877752
1987-05,2527.3844
1987-06,1745.955304
1987-07,814.877443
1987-08,642.2291847
1987-09,467.2479033
1987-10,574.6551939
1987-11,733.3296932
1987-12,505.3820597
1988-01,490.867037
1988-02,614.8963928
1988-03,726.7479658
1988-04,930.0316085
1988-05,1365.385839
1988-06,1465.160118
1988-07,485.3698786
1988-08,383.9581819
1988-09,380.5322741
1988-10,348.662052
1988-11,330.8009072
1988-12,307.6263383
1989-01,257.0029974
1989-02,371.2400691
1989-03,627.6200236
1989-04,805.6044729
1989-05,916.8346356
1989-06,795.1937365
1989-07,286.1084584
1989-08,375.3660767
1989-09,225.1204879
1989-10,351.0221081
1989-11,338.240923
1989-12,282.273728
1990-01,312.4135281
1990-02,281.3825785
1990-03,377.663407
1990-04,430.5926638
1990-05,597.3188651
1990-06,1061.924806
1990-07,442.1761479
1990-08,232.030411
1990-09,350.1004662
1990-10,479.028814
1990-11,404.1756306
1990-12,275.2890937
1991-01,356.9759066
1991-02,403.2080786
1991-03,469.0813977
1991-04,593.744277
1991-05,1446.466788
1991-06,1730.243429
1991-07,578.7136848
1991-08,419.9838002
1991-09,552.5490056
1991-10,435.713101
1991-11,553.8913757
1991-12,485.2234569
1992-01,426.7809983
1992-02,499.9397207
1992-03,582.3744117
1992-04,857.3724856
1992-05,1799.031008
1992-06,1099.958493
1992-07,529.1934618
1992-08,389.4211966
1992-09,379.1663999
1992-10,393.4706014
1992-11,429.2531487
1992-12,316.6623914
1993-01,569.11506
1993-02,548.3751792
1993-03,1109.306214
1993-04,1496.276608
1993-05,3651.494928
1993-06,3484.058889
1993-07,1198.461948
1993-08,543.5266244
1993-09,473.684444
1993-10,560.1491163
1993-11,569.0574755
1993-12,533.009061
1994-01,520.7087114
1994-02,427.0285858
1994-03,580.828361
1994-04,627.1134352
1994-05,1701.988589
1994-06,1384.100064
1994-07,373.7523871
1994-08,270.2083149
1994-09,366.8285583
1994-10,468.2626412
1994-11,375.5065323
1994-12,421.1010975
1995-01,372.927365
1995-02,382.5753999
1995-03,710.1318086
1995-04,877.0273092
1995-05,2452.615918
1995-06,4384.437692
1995-07,3385.986322
1995-08,880.7428689
1995-09,476.736361
1995-10,576.0100733
1995-11,661.6764472
1995-12,657.5720721
1996-01,520.8596483
1996-02,586.5399435
1996-03,667.8249858
1996-04,1157.305413
1996-05,2464.954307
1996-06,2289.750437
1996-07,884.2009868
1996-08,323.5200159
1996-09,459.9089835
1996-10,533.0263094
1996-11,620.5363357
1996-12,538.6146214
1997-01,556.6669513
1997-02,545.886562
1997-03,1172.490477
1997-04,1600.245367
1997-05,3583.323075
1997-06,4111.326579
1997-07,1341.218858
1997-08,931.6197222
1997-09,1169.270336
1997-10,1025.49321
1997-11,831.6740618
1997-12,747.4343903
1998-01,701.7285275
1998-02,617.5570835
1998-03,901.600229
1998-04,1413.213014
1998-05,3106.879406
1998-06,2405.063882
1998-07,1199.641188
1998-08,654.1647105
1998-09,610.4722709
1998-10,762.8014443
1998-11,757.7297358
1998-12,503.1070866
1999-01,590.1390325
1999-02,556.601686
1999-03,636.7492937
1999-04,752.3499959
1999-05,1920.764815
1999-06,3006.142089
1999-07,1311.697912
1999-08,1196.180051
1999-09,912.9013386
1999-10,628.1638687
1999-11,517.4261623
1999-12,499.3148318
2000-01,499.7300638
2000-02,475.2537593
2000-03,552.7368118
2000-04,835.4371858
2000-05,1648.994845
2000-06,1342.908168
2000-07,388.7076091
2000-08,301.9547044
2000-09,354.9510255
2000-10,471.4179649
2000-11,372.3276069
2000-12,356.8114541
2001-01,338.6261408
2001-02,348.6446079
2001-03,518.4475084
2001-04,613.0765468
2001-05,1765.44443
2001-06,1172.420232
2001-07,354.9116474
2001-08,430.1399385
2001-09,328.9432385
2001-10,301.0542604
2001-11,356.1947093
2001-12,295.7952034
2002-01,295.2422101
2002-02,279.1717716
2002-03,348.7089052
2002-04,405.667429
2002-05,463.3127262
2002-06,350.6979856
2002-07,127.1421861
2002-08,131.0751847
2002-09,439.7325496
2002-10,337.9788925
2002-11,352.7525217
2002-12,271.6322686
2003-01,257.9366492
2003-02,267.4880761
2003-03,390.7560679
2003-04,426.438868
2003-05,1333.764299
2003-06,1563.635961
2003-07,351.4526423
2003-08,269.1146061
2003-09,483.6336061
2003-10,340.6525478
2003-11,361.4110485
2003-12,299.760559
2004-01,271.5528899
2004-02,275.4488291
2004-03,452.9814442
2004-04,706.8257038
2004-05,1055.869468
2004-06,759.9778086
2004-07,344.7980386
2004-08,258.9421138
2004-09,422.6774818
2004-10,517.8589662
2004-11,477.2799514
2004-12,393.3960534
2005-01,602.0689266
2005-02,509.4243189
2005-03,563.0025837
2005-04,1160.258278
2005-05,2882.973246
2005-06,2892.361521
2005-07,984.6409164
2005-08,504.9129574
2005-09,478.5079225
2005-10,646.4823847
2005-11,518.9063914
2005-12,407.8180055
2006-01,417.7376512
2006-02,370.5887872
2006-03,530.6018087
2006-04,1098.340437
2006-05,1963.13748
2006-06,1408.888173
2006-07,518.09394
2006-08,461.1813658
2006-09,491.4811816
2006-10,1318.538804
2006-11,529.7144936
2006-12,476.1803805
2007-01,423.9681965
2007-02,464.0185217
2007-03,736.6730471
2007-04,803.3205758
2007-05,1649.949778
2007-06,1074.657367
2007-07,411.0722939
2007-08,478.7212747
2007-09,494.0879676
2007-10,520.1645528
2007-11,441.7727458
2007-12,431.3714884
2008-01,429.1437344
2008-02,636.5080671
2008-03,792.5862335
2008-04,1180.144784
2008-05,2674.981554
2008-06,3242.070493
2008-07,1189.041152
2008-08,546.6607919
2008-09,472.8465557
2008-10,438.5208271
2008-11,429.4919091
2008-12,378.7267876
2009-01,408.9994521
2009-02,390.5649578
2009-03,481.1026617
2009-04,769.5416262
2009-05,2741.64042
2009-06,2202.049644
2009-07,974.0156205
2009-08,418.9313827
2009-09,398.9147991
2009-10,446.6460318
2009-11,444.8251216
2009-12,356.7836822
2010-01,445.7298317
2010-02,423.8100788
2010-03,545.0788115
2010-04,789.0076983
2010-05,1349.723854
2010-06,2261.844325
2010-07,593.1543473
2010-08,632.6037026
2010-09,444.0140683
2010-10,605.2100586
2010-11,394.306058
2010-12,437.1890782
2011-01,310.6063286
2011-02,354.7851334
2011-03,601.8142403
2011-04,1155.886408
2011-05,2592.314046
2011-06,4808.241546
2011-07,3239.471961
2011-08,796.2481258
2011-09,681.0439635
2011-10,650.1674161
2011-11,548.5453037
2011-12,520.2453023
2012-01,520.7708496
2012-02,475.930622
2012-03,648.6668858
2012-04,712.5804861
2012-05,804.3873152
2012-06,403.8124118
2012-07,294.4832052
2012-08,300.6812598
2012-09,306.5420053
2012-10,304.4274895
2012-11,289.1177167
2012-12,253.1079744
2013-01,242.8921522
2013-02,309.1856515
2013-03,367.3282819
2013-04,334.8730196
2013-05,962.0129819
2013-06,913.2519075
2013-07,310.1187382
2013-08,420.1424423
2013-09,817.8975764
2013-10,486.3022285
2013-11,447.1283744
2013-12,303.5185583
2014-01,282.4447914
2014-02,333.9031931
2014-03,456.8457545
2014-04,822.8228192
2014-05,1734.199302
2014-06,2722.197965
2014-07,745.0566936
2014-08,639.9843347
2014-09,652.9679525
2014-10,648.6587959
2014-11,435.6176315
2014-12,476.1421406
2015-01,468.2505655
2015-02,483.5531023
2015-03,561.9084805
2015-04,556.8289863
2015-05,1493.380192
2015-06,2626.745219
2015-07,1017.430789
2015-08,481.1853853
2015-09,449.5305347
2015-10,698.8728082
2015-11,522.5906285
2015-12,403.4638659
2016-01,454.4967854
2016-02,508.9859794
2016-03,506.5706708
2016-04,720.2595632
2016-05,1995.685955
2016-06,2667.445379
2016-07,817.7926454
2016-08,445.3517194
2016-09,481.4963491
2016-10,495.227226
2016-11,399.7841273
2016-12,381.7327163
2017-01,429.7056615
2017-02,592.9535605
2017-03,934.9031391
2017-04,1552.335749
2017-05,2413.995502
2017-06,2728.299443
2017-07,911.2014867
2017-08,507.6599048
2017-09,425.8236852
2017-10,546.4963615
2017-11,467.647192
2017-12,502.6768788
2018-01,454.2828476
2018-02,401.483391
2018-03,407.4167859
2018-04,430.8171949
2018-05,1004.493815
2018-06,646.496265
2018-07,258.7394095
2018-08,276.8009577
2018-09,238.6286635
2018-10,488.0280599
2018-11,316.7101828
2018-12,335.6318488
2019-01,313.3141123
2019-02,350.6759892
2019-03,588.318066
2019-04,967.5224962
2019-05,2044.387851
2019-06,3681.637059
2019-07,2047.028507
2019-08,621.9213121
2019-09,389.9987665
