date,pool elevation
1963-12,3409.3600100000003
1964-1,3412.2874984375003
1964-2,3414.539998333333
1964-3,3414.4030984375
1964-4,3403.541929032258
1964-5,3405.5499953125
1964-6,3457.024532580645
1964-7,3479.819991875
1964-8,3488.889389375
1964-9,3490.6564306451614
1964-10,3491.6931228125
1964-11,3491.6199748387107
1964-12,3491.5281096875
1965-1,3491.6937328125
1965-2,3491.504133448276
1965-3,3491.5240709375003
1965-4,3491.5454890322585
1965-5,3491.8934246875
1965-6,3497.861288709678
1965-7,3523.4262543749996
1965-8,3532.8040540625
1965-9,3529.9335625806452
1965-10,3531.1265640624997
1965-11,3531.5848429032258
1965-12,3533.694350625
1966-1,3535.6749875
1966-2,3534.4193158620697
1966-3,3535.0012434375003
1966-4,3538.5858116129043
1966-5,3542.1815565625
1966-6,3545.283533548387
1966-7,3542.530624375
1966-8,3536.8065565625
1966-9,3532.0603022580644
1966-10,3528.0397115625
1966-11,3525.3677467741936
1966-12,3523.0865396875
1967-1,3518.7571712500003
1967-2,3515.9899813793113
1967-3,3513.506881875
1967-4,3509.6293551612907
1967-5,3504.8474959375
1967-6,3520.249983870968
1967-7,3531.853455
1967-8,3531.7118759375
1967-9,3529.2329022580648
1967-10,3528.2950059375
1967-11,3528.3987293548385
1967-12,3527.3093875
1968-1,3526.1581268749997
1968-2,3525.383024666666
1968-3,3523.713745
1968-4,3516.45675516129
1968-5,3516.9434590624996
1968-6,3537.6741983870975
1968-7,3547.3881303125
1968-8,3548.9496840624997
1968-9,3546.6429009677413
1968-10,3544.6352915625002
1968-11,3542.4338532258057
1968-12,3540.4815596875
1969-1,3539.807815625
1969-2,3541.460356896552
1969-3,3543.703735
1969-4,3547.1600229032256
1969-5,3561.638748125
1969-6,3576.105815483871
1969-7,3580.8496778125
1969-8,3578.1731028125
1969-9,3574.2012738709686
1969-10,3574.1687546875
1969-11,3574.59804967742
1969-12,3572.7003253125
1970-1,3570.1171796874996
1970-2,3569.4972127586193
1970-3,3571.2428053125
1970-4,3568.7509606451617
1970-5,3572.0721893749997
1970-6,3591.9403032258065
1970-7,3601.00094625
1970-8,3599.509353125
1970-9,3598.826140645162
1970-10,3599.293136875
1970-11,3600.491943548387
1970-12,3600.628738125
1971-1,3599.56375125
1971-2,3602.087587586207
