date,pool elevation
1937-5,1077.56399
1937-6,1090.015171935484
1937-7,1100.474696875
1937-8,1101.499389375
1937-9,1098.8154761290325
1937-10,1097.29343875
1937-11,1096.2925677419355
1937-12,1095.8196909375
1938-1,1095.279060625
1938-2,1094.7737868965517
1938-3,1098.5943759375
1938-4,1102.2022612903227
1938-5,1122.3862565625
1938-6,1152.6287132258062
1938-7,1171.81500625
1938-8,1172.8009375000001
1938-9,1172.9325699999997
1938-10,1172.6684453125
1938-11,1169.4870996774196
1938-12,1168.5321878125
1939-1,1167.873140625
1939-2,1161.1720768965515
1939-3,1156.6346784375
1939-4,1161.070639677419
1939-5,1169.4346781250001
1939-6,1181.0912851612902
1939-7,1182.6396828124998
1939-8,1179.2034346875
1939-9,1178.3087232258067
1939-10,1177.4578025
1939-11,1174.4706512903228
1939-12,1171.41562625
1940-1,1168.24501
1940-2,1166.4720053333333
1940-3,1165.57844125
1940-4,1164.3809619354838
1940-5,1169.6000028125
1940-6,1180.1129035483873
1940-7,1181.2178259375
1940-8,1177.74405
1940-9,1174.9009541935488
1940-10,1174.5603184375
1940-11,1172.0374238709683
1940-12,1169.22375875
1941-1,1167.6203156249999
1941-2,1167.0086296551724
1941-3,1169.028435625
1941-4,1172.9816067741933
1941-5,1188.8318828124998
1941-6,1208.787100645161
1941-7,1219.046875
1941-8,1218.781569375
1941-9,1212.4358067741935
1941-10,1210.1178084375001
1941-11,1208.9651587096776
1941-12,1200.3281321875002
1942-1,1190.1559225
1942-2,1180.2262051724135
1942-3,1173.1078171875001
1942-4,1176.1435696774192
1942-5,1188.5140753125002
1942-6,1206.1948480645162
1942-7,1213.1824993750001
1942-8,1212.0318790625001
1942-9,1207.7949416129034
1942-10,1201.7190665624998
1942-11,1196.438712903226
1942-12,1191.0243721875
1943-1,1185.2790612499998
1943-2,1181.1075865517241
1943-3,1178.2600053125002
1943-4,1178.02676516129
1943-5,1186.4015465625002
1943-6,1194.83
1943-7,1201.8143846875
1943-8,1200.4356184375001
1943-9,1197.8735425806453
1943-10,1192.595314375
1943-11,1186.8951654838709
1943-12,1181.208435625
1944-1,1174.627181875
1944-2,1167.3896603333333
1944-3,1160.9150046875
1944-4,1158.0383806451614
1944-5,1163.29655125
1944-6,1185.44226483871
1944-7,1199.2221909375
1944-8,1196.8034434375
1944-9,1190.440319354839
1944-10,1183.6128046875
1944-11,1177.3067706451614
1944-12,1171.03156375
1945-1,1164.5274928125
1945-2,1158.2969003448277
1945-3,1152.3174871875
1945-4,1147.7119341935481
1945-5,1154.372191875
1945-6,1168.4487148387097
1945-7,1178.6940609375001
1945-8,1181.89249875
1945-9,1180.2216158064518
1945-10,1175.5534337499998
1945-11,1171.141609032258
1945-12,1165.855636875
1946-1,1160.516885
1946-2,1154.284827586207
1946-3,1149.307503125
1946-4,1146.9367677419357
1946-5,1152.783439375
1946-6,1159.276776451613
1946-7,1163.852185
1946-8,1162.04031
1946-9,1159.4790341935486
1946-10,1155.5493771874999
1946-11,1152.7077364516128
1946-12,1150.133136875
1947-1,1145.658426875
1947-2,1140.2055124137933
1947-3,1135.9153099999999
1947-4,1134.7645148387096
1947-5,1142.648124375
1947-6,1160.892896451613
1947-7,1175.2287556249998
1947-8,1177.9718746875
1947-9,1179.1532177419356
1947-10,1177.6003181249998
1947-11,1176.637102903226
1947-12,1172.9381225
1948-1,1167.670306875
1948-2,1161.1486703333333
1948-3,1156.3999937500002
1948-4,1155.7438841935482
1948-5,1165.924060625
1948-6,1186.7138783870969
1948-7,1191.9706190625
1948-8,1188.7640646875
1948-9,1183.8838596774194
1948-10,1178.18218625
1948-11,1173.4674077419354
1948-12,1167.6484421875
1949-1,1161.3787528125
1949-2,1154.0930972413794
1949-3,1148.7521825
1949-4,1146.4367751612901
1949-5,1156.7153209374999
1949-6,1176.1609638709679
1949-7,1194.8450021875
1949-8,1195.128444375
1949-9,1189.9103183870968
1949-10,1183.5212475
1949-11,1178.9909587096774
1949-12,1173.2815624999998
1950-1,1166.1265603125
1950-2,1159.2641382758618
1950-3,1153.9296878124999
1950-4,1150.7758077419353
1950-5,1154.56937125
1950-6,1166.9074241935484
1950-7,1176.683749375
1950-8,1175.33842875
1950-9,1170.9551532258065
1950-10,1166.547813125
1950-11,1161.9635293548383
1950-12,1158.2643740624999
1951-1,1153.7368775
1951-2,1149.6313813793104
1951-3,1145.9031225
1951-4,1142.4954793548388
1951-5,1142.4934349999999
1951-6,1155.9438716129032
1951-7,1167.174068125
1951-8,1168.2009390624999
1951-9,1165.6816090322582
1951-10,1161.8934368750001
1951-11,1158.9909667741936
1951-12,1154.983433125
1952-1,1151.2540737499999
1952-2,1145.6513260000002
1952-3,1137.5684474999998
1952-4,1135.9045167741936
1952-5,1159.252495
1952-6,1186.779363870968
1952-7,1200.289375625
1952-8,1197.7753175
1952-9,1192.7454793548386
1952-10,1186.452183125
1952-11,1179.545797419355
1952-12,1172.3340646875
1953-1,1165.581565625
1953-2,1159.6544858620691
1953-3,1154.5021931249998
1953-4,1150.3790316129032
1953-5,1147.515941875
1953-6,1156.7371041935482
1953-7,1166.1671975
1953-8,1164.9596784375
1953-9,1160.4693558064516
1953-10,1154.9524993750001
1953-11,1151.4164606451616
1953-12,1147.753131875
1954-1,1143.3796843750001
1954-2,1139.7124148275861
1954-3,1135.6815643749999
1954-4,1132.0099912903224
1954-5,1129.7906375
1954-6,1131.0645222580645
1954-7,1127.89749125
1954-8,1123.5709265625
1954-9,1117.5609561290325
1954-10,1114.253734375
1954-11,1111.1871016129035
1954-12,1107.6862418750002
1955-1,1102.8259387500002
1955-2,1098.124486551724
1955-3,1094.343444375
1955-4,1090.5729106451613
1955-5,1092.152801875
1955-6,1101.1274209677417
1955-7,1105.38406
1955-8,1102.9321784375002
1955-9,1100.5061300000004
1955-10,1096.7465703125
1955-11,1093.8145164516125
1955-12,1091.840000625
