date,release volume
1985-1,1819.0413224000001
1985-2,1646.2809919
1985-3,1429.6859504
1985-4,1376.3305787
1985-5,1492.7603305000002
1985-6,1708.7603306000003
1985-7,1792.2644631000005
1985-8,1731.5702480000004
1985-9,1323.7685951999997
1985-10,1069.2892563
1985-11,1129.3884301000003
1985-12,1270.6115704
1986-1,1662.9421490000002
1986-2,1094.4793389999998
1986-3,1669.4876034
1986-4,1461.0247937999998
1986-5,2115.9669421999997
1986-6,1785.7190084000003
1986-7,1688.1322314
1986-8,1463.6033059000006
1986-9,1396.7603306000003
1986-10,1221.4214877
1986-11,1084.9586779
1986-12,1494.3471073000003
1987-1,1669.0909094000003
1987-2,1173.619835
1987-3,1174.0165289999998
1987-4,1003.0413226999997
1987-5,1023.2727276999999
1987-6,877.4876035999998
1987-7,871.9338844
1987-8,1057.38843
1987-9,911.0082646999999
1987-10,709.3289259000002
1987-11,568.8793391000002
1987-12,659.6628101
1988-1,848.1322315
1988-2,774.1685951999999
1988-3,860.2314050000002
1988-4,1017.9173552999999
1988-5,911.0082648000001
1988-6,946.7900827000001
1988-7,918.7041323
1988-8,1052.2314050999998
1988-9,733.8842977
1988-10,547.3388432700001
1988-11,530.2016530000001
1988-12,593.8115704
1989-1,530.9752067999999
1989-2,556.1256201000001
1989-3,919.1404960000002
1989-4,998.2809918999999
1989-5,1167.0743804
1989-6,997.8842976
1989-7,933.0247932999998
1989-8,901.2892562
1989-9,671.3652894
1989-10,647.7619838
1989-11,612.5157028
1989-12,551.42479337
1990-1,571.49752064
1990-2,489.3024793999999
1990-3,975.9669424999997
1990-4,948.6942148999999
1990-5,988.9983476
1990-6,990.3471077999999
1990-7,1104.1983474
1990-8,1054.6115706
1990-9,632.0132236
1990-10,571.55702503
1990-11,507.6495871000001
1990-12,673.9636366000002
1991-1,513.16363626
1991-2,573.4413227000001
1991-3,782.6380166999999
1991-4,810.7834715
1991-5,1019.3057852000001
1991-6,990.9421490000001
1991-7,1045.8842974
1991-8,942.9421493000001
1991-9,812.4892566
1991-10,695.0479341
1991-11,555.80826499
1991-12,493.94380149999995
1992-1,316.28429753999995
1992-2,439.53719023999986
1992-3,645.3619835999999
1992-4,746.3008265
1992-5,955.0214879000002
1992-6,910.095868
1992-7,994.3933886999998
1992-8,929.2561985000001
1992-9,615.1933885600001
1992-10,521.5933887299999
1992-11,472.34380205
1992-12,555.907438
1993-1,285.9173553699999
1993-2,63.86776863000001
1993-3,354.52561982000003
1993-4,818.6776861
1993-5,1082.3404957000002
1993-6,852.5752065999998
1993-7,956.6060398000001
1993-8,727.9873829200001
1993-9,540.0441231500001
1993-10,684.3020193999998
1993-11,553.98191979
1993-12,761.4283538000001
1994-1,642.0426378999998
1994-2,605.6122540899999
1994-3,1035.7888950999998
1994-4,1130.1802883999997
1994-5,1072.1123595
1994-6,867.0073414
1994-7,848.5094045999999
1994-8,935.6783524
1994-9,594.5833244
1994-10,575.0754449
1994-11,756.9020386
1994-12,611.7190784
1995-1,358.74706274999994
1995-2,473.18397636
1995-3,932.2823961000001
1995-4,1018.3771429000001
1995-5,915.1515936000001
1995-6,897.7604993
1995-7,837.9404358
1995-8,996.5854568999999
1995-9,695.0658596999997
1995-10,626.0428668999998
1995-11,342.46840985
1995-12,740.7331955000003
1996-1,617.1059196000001
1996-2,793.6808468999999
1996-3,1037.1619050999998
1996-4,1352.2990739999996
1996-5,1241.4702005999995
1996-6,1097.6854458
1996-7,997.0473368
1996-8,893.1006798000001
1996-9,654.8853192
1996-10,517.7249859499999
1996-11,461.8764351600001
1996-12,636.9403508999999
1997-1,933.3115941000002
1997-2,1111.9297453000004
1997-3,1214.5917490000004
1997-4,1193.5581028
1997-5,1267.6200279999998
1997-6,1043.7174132
1997-7,1107.5387684999998
1997-8,1126.3356032
1997-9,936.243277
1997-10,538.41503188
1997-11,693.9182923000002
1997-12,915.7336401999997
1998-1,1257.8796809
1998-2,1222.557669
1998-3,1263.4189827
1998-4,1160.8546855000002
1998-5,1147.4033006
1998-6,1015.7357089
1998-7,1146.3980900000001
1998-8,962.7334070999998
1998-9,991.60933133
1998-10,734.7990607
1998-11,987.3382845
1998-12,1274.1238175999997
1999-1,868.2609765000001
1999-2,747.3974966000001
1999-3,1049.6959467
1999-4,1118.9605445999998
1999-5,1213.4443193000002
1999-6,1087.2500595000001
1999-7,991.8615472999999
1999-8,926.5439125
1999-9,740.8801448799999
1999-10,898.4787395
1999-11,965.3641016999999
1999-12,762.7788708
2000-1,778.2558858
2000-2,768.4051519999999
2000-3,1076.6202124000001
2000-4,1274.9138266000002
2000-5,1271.3190268999997
2000-6,983.2427107999999
2000-7,1035.9307759
2000-8,958.6240312
2000-9,595.8428187399999
2000-10,612.023627
2000-11,806.0722558
2000-12,882.1540157000001
2001-1,711.2636251999999
2001-2,807.5602280999999
2001-3,1007.628405
2001-4,1181.3287538
2001-5,1068.0282809999999
2001-6,1116.1517123
2001-7,1036.3248874000003
2001-8,923.3285313999999
2001-9,713.2398829
2001-10,534.8581979300001
2001-11,689.0999515899999
2001-12,781.009955
2002-1,726.0334092999999
2002-2,820.2820355000002
2002-3,1170.7742990000002
2002-4,1152.7791962000001
2002-5,1198.0058989000001
2002-6,1070.7537591999999
2002-7,1055.39906
2002-8,967.1858989999998
2002-9,686.9899809000001
2002-10,537.9982242699999
2002-11,643.5706147000002
2002-12,763.5888513
2003-1,677.3701192000001
2003-2,621.5198583999999
2003-3,998.1094391000001
2003-4,1178.6628063000003
2003-5,1039.4408387
2003-6,938.2256252
