date,release volume
1985-1,1595.7024798999998
1985-2,1538.3801659999997
1985-3,1277.3553720999998
1985-4,1267.2396697000004
1985-5,2205.8181823
1985-6,2452.1652895999996
1985-7,1808.3305785000002
1985-8,1690.5123967999998
1985-9,1434.0495869000001
1985-10,745.6859506999998
1985-11,724.6809921
1985-12,693.7586778200002
1986-1,1031.4247934
1986-2,1192.4628099000001
1986-3,1578.0495869999997
1986-4,1788.4958681000003
1986-5,2859.7685975000004
1986-6,2145.1239668000007
1986-7,1387.4380164000002
1986-8,1610.1818189000003
1986-9,1666.3140500000004
1986-10,1189.2892564
1986-11,1306.9090912000001
1986-12,1593.7190084000001
1987-1,1667.5041325999998
1987-2,1160.9256198
1987-3,875.5041322999999
1987-4,829.1900829999998
1987-5,793.3090908999998
1987-6,1026.9223143000002
1987-7,1131.5702482000002
1987-8,1317.2231404999998
1987-9,999.6694214000001
1987-10,528.93223166
1987-11,740.5090908699999
1987-12,818.2413225000003
1988-1,839.7223143000001
1988-2,804.8925622
1988-3,716.5685953000001
1988-4,577.5867768000003
1988-5,568.0066113999999
1988-6,546.5256199
1988-7,732.495868
1988-8,797.5537194
1988-9,711.2925623999998
1988-10,527.90082655
1988-11,609.9768595899999
1988-12,640.4231403799998
1989-1,758.8363636800001
1989-2,668.5289259900003
1989-3,611.8016531799999
1989-4,551.1074382
1989-5,547.3586777
1989-6,766.095868
1989-7,837.5801656000001
1989-8,892.8595046
1989-9,839.5834709000001
1989-10,563.0082645800001
1989-11,602.73719027
1989-12,659.7818185700003
1990-1,707.1272729
1990-2,627.21322332
1990-3,660.49586805
1990-4,607.06115729
1990-5,650.28099202
1990-6,760.6611569800001
1990-7,826.8099175500001
1990-8,1005.5206612
1990-9,722.3206616199999
1990-10,466.43305817000004
1990-11,512.5685950100001
1990-12,608.82644634
1991-1,696.6545459800003
1991-2,605.0380169800001
1991-3,599.5041323600002
1991-4,581.7719011900001
1991-5,781.4876030000005
1991-6,808.99834717
1991-7,964.2644635599997
1991-8,917.5537190000002
1991-9,815.2859507
1991-10,558.2082644999999
1991-11,595.0413228
1991-12,703.7553723999999
1992-1,808.0462812999998
1992-2,658.5123969999999
1992-3,609.8975213
1992-4,589.3487606999998
1992-5,596.8462814
1992-6,689.3752069999999
1992-7,876.6942154000002
1992-8,863.6033059
1992-9,705.2231403999999
1992-10,552.9917357999999
1992-11,604.4429758000002
1992-12,700.3438018
1993-1,806.4793392000003
1993-2,661.3884300000001
1993-3,616.1057853999998
1993-4,612.1983474000002
1993-5,608.8462808999999
1993-6,637.5867772
1993-7,927.0743805
1993-8,954.4462811999999
1993-9,683.1669425000001
1993-10,547.1603308
1993-11,633.8578518
1993-12,817.9834710000002
1994-1,829.5074381000001
1994-2,718.9685953
1994-3,638.8561986000001
1994-4,644.9652892999998
1994-5,631.7950415
1994-6,660.4760336000002
1994-7,878.4793389999999
1994-8,902.0826446999998
1994-9,655.7752064
1994-10,518.0429757
1994-11,521.1371899999999
1994-12,701.6528928
1995-1,780.4165294
1995-2,680.8264465000001
1995-3,624.1983475000001
1995-4,652.3438020000001
1995-5,650.5586778000002
1995-6,1012.7603308999999
1995-7,1111.7355375
1995-8,1157.7520661
1995-9,1122.8429754000001
1995-10,934.2148763999998
1995-11,888.7933885
1995-12,931.6363639
1996-1,1005.4214879000002
1996-2,856.4628099999999
1996-3,1223.0479342
1996-4,1148.7669423999998
1996-5,1080.5950410999997
1996-6,1080.7933888999999
1996-7,1015.1404959999999
1996-8,928.1851240999999
1996-9,850.6314053
1996-10,688.1256200000001
1996-11,652.8793389
1996-12,938.9752069999997
1997-1,1108.7603311999999
1997-2,1294.7638132999998
1997-3,1583.2289103000005
1997-4,1336.7115146999997
1997-5,1322.5617149
1997-6,1538.7715639999997
1997-7,1352.7542783000004
1997-8,1266.9185214999995
1997-9,1180.9617732000002
1997-10,1246.4488289
1997-11,1248.7437826000005
1997-12,1295.7850958000001
1998-1,1233.6169954000004
1998-2,1128.3205435999998
1998-3,1237.5089490999997
1998-4,828.3419220999999
1998-5,928.4324574999999
1998-6,1134.8024498
1998-7,1291.1381794999995
1998-8,1331.348577
1998-9,1050.4516795
1998-10,930.7914227000002
1998-11,833.2028486
1998-12,939.1603068000001
1999-1,921.7575543999999
1999-2,827.1219365
1999-3,809.18720179
1999-4,730.8393404
1999-5,1078.2902752999998
1999-6,1011.9532365000001
1999-7,1131.1165019999999
1999-8,1193.4545882000002
1999-9,1163.7640368000004
1999-10,1084.7221759000004
1999-11,1095.9100144999995
1999-12,1038.5628566
2000-1,832.1538631999997
2000-2,672.3451917
2000-3,663.9643199000001
2000-4,940.7822816000003
2000-5,1156.1391460000004
2000-6,489.92785490000017
2000-7,509.3665687000001
2000-8,510.97054570000006
2000-9,672.1821954000002
2000-10,625.4778762000001
2000-11,830.1668937999999
2000-12,850.4335983999998
2001-1,879.7631659
2001-2,672.2341951999998
2001-3,668.2072506000002
2001-4,619.7799629999998
2001-5,624.0018983999998
2001-6,596.4413035000001
2001-7,827.3579379
2001-8,847.5736342999998
2001-9,466.32819850000004
2001-10,622.4469237
2001-11,627.2148465
2001-12,828.2999206000001
2002-1,831.4028751999999
2002-2,623.3319036999998
2002-3,620.1889560999998
2002-4,622.6349209
2002-5,605.9101609000002
2002-6,771.0467570000002
2002-7,927.2404726000001
2002-8,922.0625518000002
2002-9,499.8687097
2002-10,513.3365161
2002-11,491.6648315000001
2002-12,621.7409293
2003-1,809.5641926000003
2003-2,740.6581946000001
2003-3,811.8591575999999
2003-4,622.1989197
