date,pool elevation
1985-1,3682.4075090625
1985-2,3678.033473103449
1985-3,3675.4903340625
1985-4,3679.7190174193547
1985-5,3691.743759375
1985-6,3698.7874567741933
1985-7,3698.535645
1985-8,3693.9765625
1985-9,3687.585795483871
1985-10,3686.056533125
1985-11,3686.209677419355
1985-12,3686.849990625
1986-1,3686.7424925
1986-2,3684.1168841379304
1986-3,3682.15625
1986-4,3681.465812580645
1986-5,3684.0918887499997
1986-6,3690.77998967742
1986-7,3698.3590543749997
1986-8,3697.2362440625
1986-9,3691.8754803225806
1986-10,3689.4753346874995
1986-11,3688.7454551612905
1986-12,3686.0231325
1987-1,3681.5403137499998
1987-2,3678.0965448275865
1987-3,3678.511245625
1987-4,3681.5387403225805
1987-5,3690.3609312500002
1987-6,3697.20062
1987-7,3697.5181509374997
1987-8,3693.77533625
1987-9,3689.6028932258064
1987-10,3687.5562437500002
1987-11,3688.007749677419
1987-12,3686.1829875
1988-1,3684.0965653125
1988-2,3682.3246580000005
1988-3,3681.8059387499998
1988-4,3682.340348387096
1988-5,3685.4953156250003
1988-6,3691.0358019354844
1988-7,3692.4918825
1988-8,3689.325943125
1988-9,3686.8625883870964
1988-10,3684.7759400000004
1988-11,3683.1054845161284
1988-12,3680.9906434375
1989-1,3678.1656296875
1989-2,3675.2033500000002
1989-3,3674.55719
1989-4,3674.9728841935475
1989-5,3676.8384321875
1989-6,3678.2622377419357
1989-7,3675.4282659375
1989-8,3671.6559371875
1989-9,3667.3428109677425
1989-10,3664.2112559375
1989-11,3662.2963477419357
1989-12,3659.9084318749997
1990-1,3656.8321915625
1990-2,3654.4875827586206
1990-3,3651.990008125
1990-4,3650.1741903225807
1990-5,3648.9884493749996
1990-6,3650.1977138709676
1990-7,3649.0137715624996
1990-8,3643.9153471874997
1990-9,3639.0306700000006
1990-10,3637.3821946875
1990-11,3636.9021077419357
1990-12,3634.878761875
1991-1,3631.7918934375
1991-2,3629.7599841379315
1991-3,3628.5224931249995
1991-4,3627.3706367741934
1991-5,3628.9115678125
1991-6,3636.4574251612903
1991-7,3637.2534487499997
1991-8,3633.4821775
1991-9,3629.9487067741934
1991-10,3627.7906187500002
1991-11,3626.878717419355
1991-12,3625.4268878125
1992-1,3622.8918684375003
1992-2,3620.5240240000003
1992-3,3619.56655875
1992-4,3620.0725483870974
1992-5,3625.4531171875
1992-6,3633.2428800000002
1992-7,3632.138443125
1992-8,3628.0242156249997
1992-9,3624.458401935484
1992-10,3621.906875625
1992-11,3620.3945235483866
1992-12,3617.5956190625
1993-1,3614.7581096875
1993-2,3612.9558524137933
1993-3,3614.027480625
1993-4,3620.1213067741933
1993-5,3633.4377971875
1993-6,3658.6458232258055
1993-7,3668.1556009375
1993-8,3665.7712478125
1993-9,3663.4325938709676
1993-10,3662.3272334374997
1993-11,3661.793220645161
1993-12,3660.4096909375003
1994-1,3658.1993868749996
1994-2,3655.947930689655
1994-3,3654.8947071875
1994-4,3653.9774129032253
1994-5,3656.8534471875
1994-6,3664.521602258065
1994-7,3663.8259353125
1994-8,3659.08719
1994-9,3655.497747741935
1994-10,3653.9672015625
1994-11,3653.0183787096776
1994-12,3651.0809246875
1995-1,3648.3878175
1995-2,3645.889311724138
1995-3,3644.8931431250003
1995-4,3645.673213548387
1995-5,3651.539961875
1995-6,3669.5519470967733
1995-7,3689.0950012499998
1995-8,3692.6856074999996
1995-9,3689.2187187096765
1995-10,3685.6772084374998
1995-11,3683.6164470967733
1995-12,3681.9071728125
1996-1,3679.3637465624997
1996-2,3676.8430096666675
1996-3,3675.1921687500003
1996-4,3672.247416774193
1996-5,3676.137496875
1996-6,3684.455132580645
1996-7,3687.5712509375
1996-8,3684.112511875
1996-9,3680.5690367741927
1996-10,3678.604725
1996-11,3677.7600100000004
1996-12,3676.0409315625
1997-1,3672.875305
1997-2,3668.9010044827587
1997-3,3663.7734296875005
1997-4,3663.596128387097
1997-5,3670.589675625
1997-6,3688.2371161290316
1997-7,3694.5196915625
1997-8,3692.2359312500002
1997-9,3690.2564661290326
1997-10,3689.7046812500002
1997-11,3687.0629016129033
1997-12,3684.03939875
1998-1,3680.57186875
1998-2,3677.2289531034485
1998-3,3673.9209287500003
1998-4,3674.590647096774
1998-5,3683.171265
1998-6,3693.820974193548
1998-7,3696.3649978125004
1998-8,3693.031234375
1998-9,3689.247747741935
1998-10,3686.6159315625
1998-11,3686.0138606451605
1998-12,3684.208435
1999-1,3681.5325090625
1999-2,3679.6510389655173
1999-3,3678.111861875
1999-4,3677.424537419355
1999-5,3679.2943724999996
1999-6,3688.5541993548386
1999-7,3694.3796765625
1999-8,3693.7006303125
1999-9,3692.7509767741926
1999-10,3690.0734590625
1999-11,3686.6380654838713
1999-12,3682.8622059375
2000-1,3680.088745
2000-2,3678.4526819999987
2000-3,3677.2212368749997
2000-4,3676.427411290322
2000-5,3676.8118821874996
2000-6,3682.2319254838712
2000-7,3682.83127125
2000-8,3681.0903121875
2000-9,3678.6680561290323
2000-10,3676.949990625
2000-11,3674.8771029032255
2000-12,3671.5353009375003
2001-1,3667.9868775
2001-2,3664.9882899999993
2001-3,3663.3300175
2001-4,3662.5622477419365
2001-5,3665.4084162500003
2001-6,3672.2174190322576
2001-7,3671.3006346875
2001-8,3667.7515509375003
2001-9,3665.433868709677
2001-10,3663.44250125
2001-11,3661.213219032259
2001-12,3658.0131190625
2002-1,3654.1896740625
2002-2,3650.9589589655175
2002-3,3648.5968781250003
2002-4,3646.754204193548
2002-5,3644.8634415625
2002-6,3642.9045045161297
