date,release volume
1963-3,41.57355373999999
1963-4,62.519008359999994
1963-5,64.08595045999999
1963-6,145.32892560000002
1963-7,91.59669414
1963-8,63.82809913999998
1963-9,61.864462799999984
1963-10,63.47107423999999
1963-11,61.50743788999999
1963-12,64.6611571
1964-1,78.78347097999999
1964-2,238.69090913999997
1964-3,425.19669429000004
1964-4,808.8595040999999
1964-5,320.8661156700003
1964-6,61.52925618
1964-7,62.16198345000001
1964-8,179.44462814000002
1964-9,168.11305789999997
1964-10,276.3371901399999
1964-11,359.1074384199998
1964-12,417.60000039
1965-1,577.4479342
1965-2,526.9487607
1965-3,571.8148761000001
1965-4,1290.4066117
1965-5,2367.2727278000007
1965-6,2353.1900819999996
1965-7,755.3057855
1965-8,895.9338844
1965-9,771.2528930000001
1965-10,678.7239674199999
1965-11,608.6479340999999
1965-12,543.9669423500002
1966-1,474.1487604500001
1966-2,500.15206625
1966-3,641.9504134000001
1966-4,861.2231405999999
1966-5,1010.9752066999996
1966-6,775.8148761000001
1966-7,676.9983477000001
1966-8,703.6760334999999
1966-9,647.166942
1966-10,572.2512399999999
1966-11,598.71074414
1966-12,550.61157027
1967-1,636.1388431000003
1967-2,545.9305789
1967-3,709.2297521
1967-4,804.3173557000001
1967-5,900.6148764000003
1967-6,724.8198350999998
1967-7,662.142149
1967-8,719.0479340000002
1967-9,610.7504133999998
1967-10,432.1388431399999
1967-11,478.25454578000006
1967-12,562.6314051600001
1968-1,653.6330583300002
1968-2,482.34049639999995
1968-3,887.5636367
1968-4,1000.6611570999997
1968-5,970.1157025999997
1968-6,915.9669424000001
1968-7,856.1652893
1968-8,707.3652893
1968-9,652.6809918000002
1968-10,649.507438
1968-11,652.1057851999998
1968-12,656.7074381000001
1969-1,598.79008264
1969-2,476.0330582000001
1969-3,733.7851242
1969-4,900.0793388000001
1969-5,786.7438019
1969-6,906.0495867999999
1969-7,988.3636362999998
1969-8,951.4710742999999
1969-9,819.6694216999999
1969-10,658.3933883400001
1969-11,720.3173556000002
1969-12,844.4429755999998
1970-1,723.09421505
1970-2,457.62644639000007
1970-3,507.3719012699999
1970-4,976.0661161
1970-5,917.0181819
1970-6,826.8099172
1970-7,795.927273
1970-8,801.8181821999998
1970-9,727.9735538
1970-10,509.61322334
1970-11,461.97024837999993
1970-12,690.3272727000001
1971-1,495.45123992999993
1971-2,436.72066141
1971-3,662.5586779000002
1971-4,1042.0165292000002
1971-5,948.2975209
1971-6,930.6049586
1971-7,967.1404960000001
1971-8,909.1438014999997
1971-9,798.6644631
1971-10,604.0066119
1971-11,786.1487603
1971-12,971.4049587000002
1972-1,835.7157028999998
1972-2,456.01983504000003
1972-3,394.41322367
1972-4,802.5719009000001
1972-5,935.4049590999999
1972-6,896.2115704999999
1972-7,952.1454549999999
1972-8,1038.9818186
1972-9,958.4132234
1972-10,663.3520663100002
1972-11,701.3752065300001
1972-12,1045.1900826100002
1973-1,1245.1834715000002
1973-2,786.2876031999999
1973-3,1147.67603342
1973-4,1731.9669423000005
1973-5,676.6016531
1973-6,776.2314052000002
1973-7,677.1768594
1973-8,580.72066144
1973-9,431.20661171999996
1973-10,529.5272731099999
1973-11,418.4330580699999
1973-12,346.13553727999994
1974-1,859.8743802300002
1974-2,315.96694205999995
1974-3,392.44958688
1974-4,512.01322337
1974-5,829.2297522999997
1974-6,942.2677687000001
1974-7,1268.8264464000001
1974-8,1252.7603307
1974-9,852.2776862
1974-10,627.0347108000001
1974-11,732.2181819400001
1974-12,586.92892585
1975-1,783.3917354500003
1975-2,577.32892543
1975-3,522.64462811
1975-4,483.64958702
1975-5,919.2396696999999
1975-6,1022.5785126
1975-7,1257.1239670999998
1975-8,1048.6611567999998
1975-9,995.4644631000001
1975-10,646.77024823
1975-11,432.2578513000001
1975-12,542.36033057
1976-1,706.94876056
1976-2,769.4280989499999
1976-3,700.3834713800002
1976-4,688.7404958000001
1976-5,1071.6694219999997
1976-6,783.2132234000001
1976-7,781.9041325000001
1976-8,750.9619838999998
1976-9,876.4165289
1976-10,817.9834711
1976-11,932.0132230999999
1976-12,839.8809920900001
1977-1,1020.2578512999999
1977-2,494.5983470199999
1977-3,466.73057867
1977-4,165.65553722
1977-5,212.77487598
1977-6,485.1847936300001
1977-7,872.2115703
1977-8,1210.3140498999999
1977-9,1012.5223141000001
1977-10,385.7454546100001
1977-11,411.2132232900001
1977-12,843.6495869099998
1978-1,981.3421487999999
1978-2,635.3057854099999
1978-3,597.9570248099999
1978-4,509.47438070000004
1978-5,674.4198347000001
1978-6,783.6297525000001
1978-7,729.6595042999999
1978-8,1104.7933886
1978-9,991.3388434
1978-10,710.2413227499998
1978-11,698.9950412999999
1978-12,901.0512398699999
1979-1,1062.6446286
1979-2,766.0958678800001
1979-3,209.99008261999995
1979-4,353.8115703
1979-5,538.7900824
1979-6,645.1834716000001
1979-7,895.2595041999998
1979-8,1097.8909091999997
1979-9,703.8545456999999
1979-10,646.9884299300002
1979-11,834.6446280999999
1979-12,641.5537194200002
1980-1,633.8578513200001
1980-2,629.4743801000001
1980-3,634.45289274
1980-4,893.4347107999997
1980-5,883.1008269999999
1980-6,1539.3322314
1980-7,1634.3801654000004
1980-8,1308.6942152
1980-9,1009.7851239999998
1980-10,800.4099172899998
1980-11,954.5256201999999
1980-12,783.7685953999999
1981-1,769.8446285
1981-2,660.9520662000001
1981-3,479.44462809000004
1981-4,489.3024792800001
1981-5,566.9355374
1981-6,542.3404959000001
1981-7,883.2991736
1981-8,936.0
1981-9,688.1454545
1981-10,625.9239669500001
