date,release volume
1934-4,464.03305789999996
1934-5,1146.2479342
1934-6,639.4314052300002
1934-7,176.03305786999994
1934-8,171.33223138999998
1934-9,201.06446286000002
1934-10,196.97851242
1934-11,217.92396693999996
1934-12,282.82314052
1935-1,306.7259505200001
1935-2,213.70909095000005
1935-3,444.5752068999999
1935-4,445.58677689999996
1935-5,594.9024792
1935-6,1001.1768596000001
1935-7,731.6429746999996
1935-8,650.4793384999999
1935-9,622.3735545000002
1935-10,632.4654544000001
1935-11,587.5338845999997
1935-12,306.0000000200001
1936-1,305.1570248499999
1936-2,328.8198345
1936-3,587.1669416999999
1936-4,615.6793393
1936-5,576.1785126999999
1936-6,641.4644634000001
1936-7,721.3785126000004
1936-8,632.846281
1936-9,574.6909095000002
1936-10,461.00826449999994
1936-11,365.65289241000005
1936-12,317.82148763
1937-1,302.7352065700001
1937-2,320.9851241400001
1937-3,538.8595042999999
1937-4,579.9114048999999
1937-5,567.4928928999999
1937-6,598.9289256000001
1937-7,691.6561983000001
1937-8,682.6214876000003
1937-9,578.06281
1937-10,527.3950414999998
1937-11,424.5520663
1937-12,411.75867800000003
1938-1,408.39669439999994
1938-2,380.8363636
1938-3,499.923967
1938-4,611.2363638000003
1938-5,580.8991737000001
1938-6,658.1851242000001
1938-7,716.1123968
1938-8,660.2380167
1938-9,578.5289256000001
1938-10,817.5471074999999
1938-11,773.7719007000001
1938-12,419.91074359
1939-1,850.5123968400001
1939-2,1354.4826447
1939-3,654.68429762
1939-4,672.833058
1939-5,638.2016531000003
1939-6,682.0958680000001
1939-7,731.1867768999999
1939-8,744.7933884000001
1939-9,636.2578511
1939-10,718.8495872000001
1939-11,734.4
1939-12,723.9867771
1940-1,700.6214877
1940-2,479.2462809
1940-3,668.9652895
1940-4,643.4578515000001
1940-5,589.7256204999999
1940-6,601.9438016000001
1940-7,694.2545455000001
1940-8,700.6016528000001
1940-9,719.0280995999998
1940-10,822.2677686000003
1940-11,797.9504132000001
1940-12,821.1966942999999
1941-1,612.2975206000001
1941-2,525.2628101
1941-3,574.1752067
1941-4,538.0760333000001
1941-5,1497.3024791
1941-6,1850.3801655000004
1941-7,983.6033054000003
1941-8,1471.5371903000005
1941-9,1626.4462811000003
1941-10,1695.8677688999999
1941-11,1886.0826448000005
1941-12,2126.4793387
1942-1,2082.4462815
1942-2,1598.6776864
1942-3,1449.897521
1942-4,1353.0049588000002
1942-5,1400.5289256
1942-6,1617.4512397000005
1942-7,1313.3990084000002
1942-8,878.7847937000001
1942-9,1089.4750416000002
1942-10,1201.4340497
1942-11,1139.4188432
1942-12,1189.96562
1943-1,1135.0750414000001
1943-2,852.1031406
1943-3,1010.9593393999999
1943-4,951.5841322
1943-5,1053.8975211999998
1943-6,1080.0337191
1943-7,1142.6062810999997
1943-8,1074.4204958999999
1943-9,1080.462149
1943-10,1207.7077688
1943-11,1219.5292565000002
1943-12,1312.458843
1944-1,1345.0016530999997
1944-2,1312.6373554000002
1944-3,1350.2895867999998
1944-4,1201.2396697000001
1944-5,1264.0839671000003
1944-6,1152.3828101000001
1944-7,1159.5927273000002
1944-8,1247.6171904
1944-9,1162.6512397000001
1944-10,1256.9176864
1944-11,1223.1074381999997
1944-12,1230.5811574
1945-1,1285.9259505000002
1945-2,1137.1775208
1945-3,1281.3857852
1945-4,1074.4800003
1945-5,1095.3560334999997
1945-6,1048.3457853999996
1945-7,895.7533886000001
1945-8,909.6277690600001
1945-9,886.345785
1945-10,1102.1970250000002
1945-11,1078.6175209
1945-12,1105.1821486000001
1946-1,1147.334876
1946-2,1079.2720662
1946-3,1013.9166940000003
1946-4,906.3629750000001
1946-5,943.2912398
1946-6,830.5150413999999
1946-7,858.4204959
1946-8,770.8085953000001
1946-9,778.5600001999999
1946-10,883.4638017
1946-11,783.7507438
1946-12,906.4442976
1947-1,1026.7438019999997
1947-2,926.1123966999996
1947-3,987.7586778000002
1947-4,899.2938844000001
1947-5,981.9193389999998
1947-6,985.5867769000001
1947-7,977.2264464
1947-8,896.868099
1947-9,881.7064466000002
1947-10,884.802645
1947-11,929.4347107000003
1947-12,1138.6532235000004
1948-1,1243.0968595
1948-2,1190.2353721
1948-3,1205.272066
1948-4,1248.0317354
1948-5,1171.4935538000002
1948-6,1119.6138848
1948-7,1208.6519010999996
1948-8,1014.4046283000001
1948-9,1039.3923967
1948-10,921.9312396999999
1948-11,1057.1444631
1948-12,1146.3312396000001
1949-1,1237.6680994999997
1949-2,1252.3299175999998
1949-3,1319.2542149000003
1949-4,1195.1147110000002
1949-5,1050.3471077999998
1949-6,997.6859506000001
1949-7,1026.8806615
1949-8,1074.0535541
1949-9,1164.1884299999997
1949-10,1203.7923968
1949-11,1060.5500828
1949-12,1262.3523968999998
1950-1,1324.1514050000003
1950-2,1172.5923970000001
1950-3,1267.9319009000003
1950-4,1064.2314052
1950-5,1136.1223140999998
1950-6,972.9361989000001
1950-7,1011.7705789000003
1950-8,911.1947106
1950-9,858.360992
1950-10,886.579835
1950-11,870.716033
1950-12,888.7100828999999
1951-1,982.8714048000002
1951-2,796.1514050999997
1951-3,905.3573555
1951-4,841.3428102
1951-5,949.7295870000002
1951-6,734.3563634999998
1951-7,821.2442977999999
1951-8,953.813554
1951-9,853.2456201999996
1951-10,787.4757029000002
1951-11,846.8548761999999
1951-12,853.7395044000001
1952-1,1128.7001656000004
1952-2,1267.3051239
1952-3,1418.8284301000006
1952-4,1434.0
1952-5,1559.0856201999998
1952-6,1469.0419836
1952-7,1357.8347107999998
1952-8,1339.0294215999995
